,page_id,text,label,Pattern Category
64,214.0,45 ADDED TO BAG IN THE PAST 24 HOURS,1,Social Proof
65,1147.0,87% offers claimed. Hurry up!,1,Scarcity
66,1031.0,HURRY! £32.99 UK DELIVERY ENDS SOON,1,Urgency
67,1289.0,ONLY 3 LEFT,1,Scarcity
68,1386.0,8 items left,1,Scarcity
69,137.0,19 people viewed this product per day,1,Social Proof
70,1630.0, Irwin ,0,Not Dark Pattern
71,1102.0,96 ITEM(S) LEFT IN STOCK!,1,Scarcity
72,117.0,__________,0,Not Dark Pattern
73,1138.0,Only 1 left In Stock,1,Scarcity
74,1536.0,Availability: Only 4 Left!,1,Scarcity
75,680.0, Personalised Gifts ,0,Not Dark Pattern
76,1405.0,A customer service specialist will contact you soon.,0,Not Dark Pattern
77,521.0,Your order is reserved for 09:54 minutes!,1,Urgency
78,1630.0, Screws & Other Fixings ,0,Not Dark Pattern
79,66.0,Use the domain shortly after payment,0,Not Dark Pattern
80,1459.0,Office Supplies & Decor,0,Not Dark Pattern
81,1531.0,This size has only 1 left in stock,1,Scarcity
82,1468.0,Arrow,0,Not Dark Pattern
83,1044.0,Returns an Item,0,Not Dark Pattern
84,157.0,HOT PRODUCT Over 250 people are looking at this item.,1,Social Proof
85,478.0,I don't want to save money,1,Misdirection
86,1135.0,HURRY! ONLY 2 LEFT IN STOCK!,1,Scarcity
87,230.0,Hair type: Curly,0,Not Dark Pattern
88,745.0,DEAL ENDS IN 40:55:13,1,Urgency
89,216.0,Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,1,Social Proof
90,1171.0,Only 1 Left,1,Scarcity
91,198.0,Search for similiar products,0,Not Dark Pattern
92,1250.0,Only 33 left,1,Scarcity
93,991.0,FAMILY SHADE PACK | PICK YOUR PACK,0,Not Dark Pattern
94,638.0,Promaster City Remotes,0,Not Dark Pattern
95,1217.0,"Hurry, only a few left!",1,Scarcity
96,1509.0, V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,0,Not Dark Pattern
97,1115.0,Only 11 left!,1,Scarcity
98,1404.0,Hurry! Only 6 left in stock,1,Scarcity
99,213.0,40 users are currently active on our website just now.,1,Social Proof
100,230.0,Hair Tools,0,Not Dark Pattern
101,1429.0,Email Address*,0,Not Dark Pattern
102,1779.0, Send Us Your Jersey ,0,Not Dark Pattern
103,1468.0, View All Home Office Furniture ,0,Not Dark Pattern
104,1425.0,Search Result:Search Results: ,0,Not Dark Pattern
105,1142.0,90% offers claimed. Hurry up!,1,Scarcity
106,1536.0,Tube Tops,0,Not Dark Pattern
107,21.0,"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",1,Social Proof
108,230.0,Hair type: Wavy,0,Not Dark Pattern
109,215.0,7 people looked at this product in the last 24 hours.,1,Social Proof
110,527.0,Glow Gear,0,Not Dark Pattern
111,1292.0,18 In Stock,1,Scarcity
112,171.0,Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,1,Social Proof
113,668.0,00:15:07:45,1,Urgency
114,315.0,"No, I'll rather pay full price.",1,Misdirection
115,1464.0,Only 9 Left.,1,Scarcity
116,149.0,Deals of the Week,0,Not Dark Pattern
117,1667.0," ... It covers love and loss, friendship and pain through ",0,Not Dark Pattern
118,59.0,1 person is viewing this,1,Social Proof
119,510.0,Your order is reserved for 09:14 minutes! ,1,Urgency
120,680.0," Gift TypeFlowers, Cakes, Plants, etc. ",0,Not Dark Pattern
121,984.0, CAMILLA World ,0,Not Dark Pattern
122,714.0,Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,0,Not Dark Pattern
123,103.0,Fun Treat Tossing,0,Not Dark Pattern
124,1024.0,Limited time remaining!,1,Urgency
125,384.0,"No thanks, I'll pay full price",1,Misdirection
126,1434.0,Your shopping bag is empty...,0,Not Dark Pattern
127,209.0,Trousers & Chinos,0,Not Dark Pattern
128,1447.0,Only 7 left in stock!,1,Scarcity
129,1272.0,Only 5 item(s) left.,1,Scarcity
130,664.0, Chargers ,0,Not Dark Pattern
131,1652.0,(only 5 left),1,Scarcity
132,113.0, Eyelashes ,0,Not Dark Pattern
133,66.0,Pick the price that matches your budget. ,0,Not Dark Pattern
134,212.0,"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",0,Not Dark Pattern
135,1468.0,Child Safety,0,Not Dark Pattern
136,117.0, Cosmic Rainbow ,0,Not Dark Pattern
137,1488.0,NRA Annual Meetings & Exhibits,0,Not Dark Pattern
138,1673.0,ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,0,Not Dark Pattern
139,1317.0, Moonstone Beads ,0,Not Dark Pattern
140,400.0,I'll Shop Without A Discount,1,Misdirection
141,1477.0,Only 11 Left In Stock,1,Scarcity
142,1446.0, Netherlands Antilles USD,0,Not Dark Pattern
143,414.0,Was this product description useful?YesNo,0,Not Dark Pattern
144,765.0,Returns Information,0,Not Dark Pattern
145,812.0,TiesToys & GamesTravelWatches,0,Not Dark Pattern
146,130.0,Bought by 39 people in last few hours! HOT SELLER!,1,Social Proof
147,1381.0,Books and Stationery,0,Not Dark Pattern
148,494.0,Your order is reserved for 08:48 minutes!,1,Urgency
149,556.0,11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,1,Urgency
150,1550.0, Bioactive Custodians ,0,Not Dark Pattern
151,1330.0, Most-Hearted Styles Shop Now ,0,Not Dark Pattern
152,1723.0, Use a clean vase and clean water.,0,Not Dark Pattern
153,1359.0," well, this is awkward. ",0,Not Dark Pattern
154,976.0,@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,0,Not Dark Pattern
155,1409.0, All Licensed ,0,Not Dark Pattern
156,133.0,Nursing chairs,0,Not Dark Pattern
157,1247.0,Only 1 Item(s) left,1,Scarcity
158,583.0,Discount pending $10 OFF 00:30:00,1,Urgency
159,149.0,Juniors' Shoes,0,Not Dark Pattern
160,1016.0,Limited Time: $10 Off! Discount Reflected In Price!,1,Urgency
161,1051.0,Switchers,0,Not Dark Pattern
162,1158.0, Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,0,Not Dark Pattern
163,1466.0,Ribbons,0,Not Dark Pattern
164,350.0,"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",0,Not Dark Pattern
165,229.0,IN 43 PEOPLE'S SHOPPING BAG,1,Social Proof
166,1317.0, Amethyst Beads ,0,Not Dark Pattern
167,300.0,Down Jackets,0,Not Dark Pattern
168,502.0,Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,1,Urgency
169,86.0,"BERNARD in Philadelphia, United States purchased a",1,Social Proof
170,368.0,"NO THANKS, I DON’T MIND MISSING OUT",1,Misdirection
171,1198.0,"Hurry, only 1 left!",1,Scarcity
172,1575.0,Only 26 Left,1,Scarcity
173,178.0,7 sold in last 24 hours,1,Social Proof
174,569.0,Buy Wearables»,0,Not Dark Pattern
175,771.0,LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,1,Urgency
176,907.0, Watercolour Brushes Toggle category Watercolour Brushes ,0,Not Dark Pattern
177,729.0,LightInTheBox 掲載記事,0,Not Dark Pattern
178,108.0,Clear filter,0,Not Dark Pattern
179,825.0,HURRY UP > 09H 42M 39S,1,Urgency
180,1409.0, Sweats ,0,Not Dark Pattern
181,976.0,Q: Will this damage my hair?,0,Not Dark Pattern
182,1330.0,Brandon Blackwood,0,Not Dark Pattern
183,91.0,"Someone in Sasebo, Japan just bought",1,Social Proof
184,125.0,80 Customers are considering this product right now.,1,Social Proof
185,159.0,88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,1,Social Proof
186,1468.0, End Tables,0,Not Dark Pattern
187,1235.0,ONLY 2 LEFT IN STOCK!,1,Scarcity
188,1123.0,Only few items left in stock,1,Scarcity
189,1535.0,Only 1.75 yards left in stock!,1,Scarcity
190,688.0," Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",0,Not Dark Pattern
191,267.0,71 people have purchased this item,1,Social Proof
192,1139.0,Only 8 left,1,Scarcity
193,1749.0,Subscribe & Save,1,Misdirection
194,803.0,"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",0,Not Dark Pattern
195,79.0,"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",1,Social Proof
196,8.0,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",1,Social Proof
197,509.0,00DAYS00HOURS14MINUTES21SECONDS,1,Urgency
198,306.0,"Great prices, professional customer services",0,Not Dark Pattern
199,638.0,Carnival Remotes,0,Not Dark Pattern
200,1659.0,Hurry! Only 1 left in size M!!,1,Scarcity
201,946.0,Items in your cart are in high demand.,1,Scarcity
202,1573.0, VIP Points! ,0,Not Dark Pattern
203,230.0,Root Touch Up + Brow Filler,0,Not Dark Pattern
204,1639.0,Limited stock Only 2 left,1,Scarcity
205,1573.0," Looks like your cart is empty, let's fix that! ",0,Not Dark Pattern
206,1209.0,Over 500 left in stock,1,Scarcity
207,1630.0,Lasers ,0,Not Dark Pattern
208,264.0,Choose your payment day. View your schedule and select pay now.,0,Not Dark Pattern
209,199.0,Hurry up! 6 people other than you have this product in their cart,1,Social Proof
210,1489.0, E-Gift Cards ,0,Not Dark Pattern
211,1168.0,1 LEFT,1,Scarcity
212,252.0,Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,1,Social Proof
213,680.0, Personalised Chocolates ,0,Not Dark Pattern
214,1536.0,Shop Dresses by Occasion,0,Not Dark Pattern
215,344.0,I do not want to protect my item,1,Misdirection
216,1713.0,Add to Your Gift and We'll Ship it For Free!,1,Misdirection
217,1604.0,Wallets ,0,Not Dark Pattern
218,1489.0, Exclusive offers & discounts for club members via email ,0,Not Dark Pattern
219,1056.0,Buy with humm.,0,Not Dark Pattern
220,1351.0," Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",0,Not Dark Pattern
221,1009.0,Synthesis E-MTB Carbon Wheelset,0,Not Dark Pattern
222,84.0,"25,439 people have viewed this item",1,Social Proof
223,379.0,No thanks I definitely measured correctly,1,Misdirection
224,181.0,57 PEOPLE HAVE LOOKED AT THIS TODAY,1,Social Proof
225,65.0,Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,1,Social Proof
226,1009.0,Women's ApparelCollection ,0,Not Dark Pattern
227,1718.0,"Before you check out, can we tempt you?",1,Misdirection
228,1328.0, Women's Sandals ,0,Not Dark Pattern
229,1351.0, Plant-Based Beauty ,0,Not Dark Pattern
230,904.0,"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",1,Obstruction
231,189.0, Frame out of stock in this colour,0,Not Dark Pattern
232,1469.0,Hair Care Sets,0,Not Dark Pattern
233,1332.0,Limited quantity remaining,1,Scarcity
234,1000.0,CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,0,Not Dark Pattern
235,1686.0,"128 sold today! Hurry, only a few left!",1,Scarcity
236,303.0,4 people are looking at this right now.,1,Social Proof
237,335.0,"No thanks, I dont want a discount",1,Misdirection
238,235.0,"Someone from Portland, United States (US) purchased MODALERT recently.",1,Social Proof
239,1042.0,Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,1,Urgency
240,151.0,2 people are viewing this,1,Social Proof
241,1605.0,HURRY! ONLY 1 IN STOCK!,1,Scarcity
242,1304.0,Printed ,0,Not Dark Pattern
243,1044.0,Patient Transfer Devices,0,Not Dark Pattern
244,622.0, Summer Casual Printed Loosen Short Sleeve T-Shirt ,0,Not Dark Pattern
245,622.0, Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,0,Not Dark Pattern
246,1681.0,LAST CHANCE TO ACTIVATE 10% OFF,1,Scarcity
247,485.0,Your order is reserved for 09:45 minutes!,1,Urgency
248,1263.0,only 5 left,1,Scarcity
249,43.0,78 Persons looking for this product,1,Social Proof
250,680.0, Heart Shaped Cake ,0,Not Dark Pattern
251,259.0,227 Bought Already,1,Social Proof
252,1026.0,You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,0,Not Dark Pattern
253,766.0,Universal Fit Collapsible Smart Phone Stand,0,Not Dark Pattern
254,1368.0,Hurry! Only Limited Items Left,1,Scarcity
255,1646.0,現代奴隷法に対する透明性に関する声明 (opens in a new tab),0,Not Dark Pattern
256,941.0,Strong demand! Complete your order before it's too late!,1,Scarcity
257,550.0,Your order is reserved for 09:56 minutes!,1,Urgency
258,48.0,"Sudha rana from Jaipur bought this product, 23 Mins ago.",1,Social Proof
259,1466.0,Gift Wrapping Supplies,0,Not Dark Pattern
260,308.0,6 others have already bought this deal today!,1,Social Proof
261,896.0,"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",1,Obstruction
262,1779.0,info@coolhockey.com,0,Not Dark Pattern
263,1004.0,"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",1,Urgency
264,724.0, Safe & Secure Checkout ,0,Not Dark Pattern
265,250.0,"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",1,Social Proof
266,142.0,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",1,Social Proof
267,1469.0,Wall Mounted Air Conditioners,0,Not Dark Pattern
268,1691.0,"803 Claimed! Hurry, only a few left!",1,Scarcity
269,64.0,"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",1,Social Proof
270,1186.0,Only 2 left!,1,Scarcity
271,141.0,3 PEOPLE VIEWING,1,Social Proof
272,360.0,"No thanks, I’d rather pay full price.",1,Misdirection
273,1304.0,Product Feature,0,Not Dark Pattern
274,883.0,Plant-based Protein,0,Not Dark Pattern
275,1317.0,Parad Combo Deals ,0,Not Dark Pattern
276,198.0,Last Shape Guide,0,Not Dark Pattern
277,1315.0, Baby & Toddler Toys ,0,Not Dark Pattern
278,1766.0,Shipping Insurance Remove Insurance,1,Sneaking
279,680.0,Clocks ,0,Not Dark Pattern
280,1317.0, Cat's Eye Beads ,0,Not Dark Pattern
281,264.0,Shop now. Pay later. Always interest-free,0,Not Dark Pattern
282,1381.0,Stay with us in India,0,Not Dark Pattern
283,443.0,No thanks. I don’t want deals.,1,Misdirection
284,776.0,Wyse Thin Client,0,Not Dark Pattern
285,1038.0,AdjustableBucketHeadbandsSale Items- View All -,0,Not Dark Pattern
286,648.0, Every bicycle tells a story ,0,Not Dark Pattern
287,1658.0," This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",0,Not Dark Pattern
288,1717.0,Add and save!,1,Misdirection
289,1469.0,Intercoms & Doorbells,0,Not Dark Pattern
290,1536.0,Boys Purple School Uniforms,0,Not Dark Pattern
291,212.0,RECENTLY VIEWED 2 others viewed this in the last few hours,1,Social Proof
292,179.0,2 viewed per hour,1,Social Proof
293,133.0,1 other customers have this item in their shopping cart,1,Social Proof
294,1408.0,ONLY A FEW LEFT IN STOCK,1,Scarcity
295,646.0,1day21:04:58,1,Urgency
296,1330.0,Fashion Forms,0,Not Dark Pattern
297,1348.0,Stock Low : 6 items left.,1,Scarcity
298,374.0,"NO, I'LL PAY FULL PRICE",1,Misdirection
299,1550.0,Terrarium Light Canopies,0,Not Dark Pattern
300,1533.0,"HURRY, LOW IN STOCK!",1,Scarcity
301,1144.0,Only 4 copies left,1,Scarcity
302,1424.0,2 LEFT,1,Scarcity
303,209.0,Feedback,0,Not Dark Pattern
304,605.0,2 DAYS 13:06:13,1,Urgency
305,1009.0,Receive news and updates on new products,0,Not Dark Pattern
306,162.0,5338 people bought this,1,Social Proof
307,1103.0,2 left in stock,1,Scarcity
308,1316.0, dFresh - Fresh Products ,0,Not Dark Pattern
309,1815.0,Thanks! -RMO Team,0,Not Dark Pattern
310,99.0,"6,743 people have viewed recently",1,Social Proof
311,932.0,Selling fast!,1,Scarcity
312,203.0,Welcome To Hotter us,0,Not Dark Pattern
313,1039.0,ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,1,Urgency
314,782.0," To enable notifications, click 'Allow' when prompted. ",0,Not Dark Pattern
315,1026.0, PHX Mercury ,0,Not Dark Pattern
316,1009.0,Easy Release Cleat Kit,0,Not Dark Pattern
317,56.0,111 people have purchased this item,1,Social Proof
318,1723.0,Flowers Trivia:,0,Not Dark Pattern
319,675.0,Your order is reserved for 09:58 minutes!,1,Urgency
320,1667.0,I've recommended The Keeper of Lost Things to everyone.,0,Not Dark Pattern
321,1027.0,LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,1,Urgency
322,930.0,"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",1,Sneaking
323,573.0,Celebrity Synthetic Wigs,0,Not Dark Pattern
324,73.0,1626 people seeing this product right now,1,Social Proof
325,1667.0,"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",0,Not Dark Pattern
326,527.0, Glow Gear ,0,Not Dark Pattern
327,1673.0,Converse,0,Not Dark Pattern
328,188.0,Stay Connected,0,Not Dark Pattern
329,1357.0,Only 1 left in Stock,1,Scarcity
330,1451.0,sales@ecklers.net,0,Not Dark Pattern
331,520.0,0 Days 2 Hours 57 Minutes 53 Seconds,1,Urgency
332,3.0,Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,1,Social Proof
333,1189.0,Only 34 Left!,1,Scarcity
334,105.0,"William in Pago Pago, United States purchased a",1,Social Proof
335,361.0,"No thanks, I don’t like fun and games.",1,Misdirection
336,1704.0,"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",1,Misdirection
337,1488.0,Explore The NRA Universe Of Websites,0,Not Dark Pattern
338,667.0,New In Special Occasion,0,Not Dark Pattern
339,664.0,"› New Year, New Kit Sale",0,Not Dark Pattern
340,793.0,"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",1,Urgency
341,108.0, Title of Review ,0,Not Dark Pattern
342,622.0,We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,0,Not Dark Pattern
343,795.0,LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,1,Urgency
344,654.0,OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,1,Urgency
345,628.0,Cellular/Honeycomb Shades,0,Not Dark Pattern
346,232.0,113 people have viewed in the last 24hrs,1,Social Proof
347,4.0,Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,0,Not Dark Pattern
348,66.0,"Jamie in Nashville, United States purchased",1,Social Proof
349,163.0,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",1,Social Proof
350,203.0,Don't miss out! We've sold 38 in the last few days.,1,Social Proof
351,355.0,"No, thank you. I prefer to pay the full price",1,Misdirection
352,420.0,"No Thanks, I don't like exclusive deals.",1,Misdirection
353,1522.0,Loading interface...,0,Not Dark Pattern
354,1026.0, SAF Warriors ,0,Not Dark Pattern
355,113.0, Lens Manual Washer ,0,Not Dark Pattern
356,322.0,"No thanks, I'd like 0% off",1,Misdirection
357,573.0,Warm Tips,0,Not Dark Pattern
358,1328.0, Our Carbon Footprint ,0,Not Dark Pattern
359,622.0, Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,0,Not Dark Pattern
360,1786.0,Uncheck the box if you prefer not to receive email updates.,1,Misdirection
361,1343.0,| Add to Compare,0,Not Dark Pattern
362,407.0,"No Thanks, I Don't Want a Free Gift",1,Misdirection
363,682.0, World of Sweats ,0,Not Dark Pattern
364,953.0,This item is in high demand.,1,Scarcity
365,300.0,Cargo Trousers,0,Not Dark Pattern
366,573.0,Hair Bundles With Closure,0,Not Dark Pattern
367,1648.0,BreakThrough,0,Not Dark Pattern
368,1084.0,ONLY 1 LEFT! GET IT NOW!,1,Scarcity
369,156.0,"Our most recent customers are from New Rochelle, Roseville, and Brooksville",1,Social Proof
370,638.0,ShopClose menu,0,Not Dark Pattern
371,822.0,Used Rifles,0,Not Dark Pattern
372,1379.0,ONLY 4 LEFT,1,Scarcity
373,1338.0,Limited quantity! ,1,Scarcity
374,1711.0,DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,1,Misdirection
375,1325.0,Hurry! Only 15 left!,1,Scarcity
376,713.0, Motocross Boots ,0,Not Dark Pattern
377,1328.0, Remove Product? ,0,Not Dark Pattern
378,1315.0, Nursery ,0,Not Dark Pattern
379,822.0,Footwear Accessories,0,Not Dark Pattern
380,1429.0,Only a few more left!,1,Scarcity
381,592.0,0011Days:0088Hours:4411Minutes:21125445Seconds,1,Urgency
382,103.0,and future features included!,0,Not Dark Pattern
383,167.0,69 people are viewing this,1,Social Proof
384,1415.0,Only 4 items left in stock.,1,Scarcity
385,1550.0,Natural Backgrounds,0,Not Dark Pattern
386,1009.0,Speed Lace Accessory Kit - Orange,0,Not Dark Pattern
387,389.0,"No Thanks, I Prefer Paying Full Price",1,Misdirection
388,1658.0,"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",0,Not Dark Pattern
